bin_size,diameter,ci_low,ci_high,bin_range
382,0.5961213703630702,0.4916817837586441,0.7005609569674964,-0.0009751171630884014->0.19502343261768026
352,0.8434616580010653,0.748154311856974,0.9387690041451566,0.19502343261768026->0.39004686523536053
202,1.0124140213684987,0.9067845089779883,1.118043533759009,0.39004686523536053->0.5850702978530408
99,1.1100785339058257,1.0083306494119544,1.211826418399697,0.5850702978530408->0.7800937304707211
33,1.2158430748893738,1.028570782580873,1.4031153671978747,0.7800937304707211->0.9751171630884014
