bin_size,diameter,ci_low,ci_high,bin_range
633,0.6865743568856176,0.5714594082895236,0.8016893054817117,-0.0009509746158131164->0.19019492316262326
494,0.9478174414399474,0.8718975548316147,1.02373732804828,0.19019492316262326->0.38038984632524653
199,1.1929984255098334,1.068071173462498,1.3179256775571688,0.38038984632524653->0.5705847694878698
96,1.1815400834129668,1.0901267460576822,1.2729534207682514,0.5705847694878698->0.7607796926504931
25,1.2884892368845575,1.1423876055777438,1.4345908681913713,0.7607796926504931->0.9509746158131164
