bin_size,diameter,ci_low,ci_high,bin_range
63,0.5165436969487767,0.3217451212517783,0.711342272645775,0.03179240954033077->0.2228782060773892
108,0.8025369210104054,0.5934114079384495,1.0116624340823615,0.2228782060773892->0.41301332700978566
54,1.1182409970979674,0.8299605875829199,1.406521406613015,0.41301332700978566->0.6031484479421821
33,1.0845568922774367,0.9632562897368686,1.2058574948180047,0.6031484479421821->0.7932835688745786
11,1.283436881407361,1.143723471383759,1.4231502914309628,0.7932835688745786->0.9834186898069751
