bin_size,diameter,ci_low,ci_high,bin_range
382,0.5955856537956127,0.49181406446058784,0.6993572431306375,-0.0009751171630884014->0.19502343261768026
352,0.8447056484989264,0.7494091981743805,0.9400020988234723,0.19502343261768026->0.39004686523536053
202,1.0120704259635407,0.9088315571643755,1.115309294762706,0.39004686523536053->0.5850702978530408
99,1.111793579546023,1.0082354308661439,1.215351728225902,0.5850702978530408->0.7800937304707211
33,1.211581168038208,1.0276665262422613,1.3954958098341548,0.7800937304707211->0.9751171630884014
