bin_size,diameter,ci_low,ci_high,bin_range
347,0.5023522230349283,0.39435031738699755,0.6103541286828591,0.004674785153264648->0.199017548663203
378,0.7271657522445732,0.6409816408861106,0.8133498636030358,0.199017548663203->0.39239343275269395
226,1.048975289184422,0.9002963824482648,1.197654195920579,0.39239343275269395->0.5857693168421848
81,1.160587616093669,1.0215676828586302,1.2996075493287078,0.5857693168421848->0.7791452009316757
35,1.2240219364898444,1.1184467627478667,1.329597110231822,0.7791452009316757->0.9725210850211666
