bin_size,diameter,ci_low,ci_high,bin_range
63,0.5168795523307987,0.3158369916616513,0.7179221129999462,0.03179240954033077->0.2228782060773892
108,0.80390217564067,0.5782592573111374,1.0295450939702027,0.2228782060773892->0.41301332700978566
54,1.1106773995025387,0.8215257999164798,1.3998289990885977,0.41301332700978566->0.6031484479421821
33,1.0835493124254107,0.9601883354202613,1.2069102894305603,0.6031484479421821->0.7932835688745786
11,1.2788283325841558,1.139220910587964,1.4184357545803477,0.7932835688745786->0.9834186898069751
