bin_size,diameter,ci_low,ci_high,bin_range
690,0.5072617128149454,0.46876098208052197,0.5457624435493688,-0.000991395660785179->0.19827913215703577
609,0.8261122454302937,0.7829810426738094,0.869243448186778,0.19827913215703577->0.39655826431407154
268,1.1355700029891524,1.0738521485402233,1.1972878574380816,0.39655826431407154->0.5948373964711073
96,1.3353972487446644,1.237078273254559,1.4337162242347696,0.5948373964711073->0.7931165286281431
24,1.364871522647921,1.205532809989619,1.5242102353062232,0.7931165286281431->0.9913956607851788
