bin_size,bin_value,diameter,ci_low,ci_high,bin_range
27584,,0.2982571215854345,0.29302438707359596,0.303489856097273,-0.001->0.2
12253,,0.48265273525754354,0.4739716569608269,0.4913338135542602,0.2->0.4
2096,,0.7647668247838677,0.7402185220795212,0.7893151274882142,0.4->0.6000000000000001
511,,0.90079168463855,0.8521190520236002,0.9494643172534998,0.6000000000000001->0.8
126,,1.0476435323172715,0.8952152878681021,1.2000717767664408,0.8->1.0
