bin_size,diameter,ci_low,ci_high,bin_range
510,0.5346371527502397,0.478357242505671,0.5909170629948084,-0.000991395660785179->0.19827913215703577
423,0.8320854320008969,0.7767684232502653,0.8874024407515285,0.19827913215703577->0.39655826431407154
197,1.1697204735755593,1.0974825629287785,1.24195838422234,0.39655826431407154->0.5948373964711073
65,1.3186351477429603,1.191265602543136,1.4460046929427846,0.5948373964711073->0.7931165286281431
19,1.3307255814063013,1.1713775205884585,1.490073642224144,0.7931165286281431->0.9913956607851788
