bin_size,diameter,ci_low,ci_high,bin_range
77,0.5642232252918642,0.42360234358131515,0.7048441070024132,0.05339077036341732->0.24338666041302692
105,0.8241964633130566,0.6465165710864933,1.00187635553962,0.24338666041302692->0.43243729727831015
56,0.9617691489870973,0.8690784701422745,1.0544598278319202,0.43243729727831015->0.6214879341435933
24,1.1608413841659921,1.0127962720129116,1.3088864963190727,0.6214879341435933->0.8105385710088765
9,1.3146949492642521,1.1506290780481654,1.4787608204803389,0.8105385710088765->0.9995892078741597
