bin_size,diameter,ci_low,ci_high,bin_range
263,0.4778015130955298,0.40993993972533327,0.5456630864657264,0.008129925927869397->0.20204712524581236
422,0.7545929445587907,0.7070735498603544,0.8021123392572269,0.20204712524581236->0.3949995623780939
179,0.9605454462316358,0.871843563615296,1.0492473288479758,0.3949995623780939->0.5879519995103755
70,1.1487371764134047,1.0823311982802526,1.2151431545465567,0.5879519995103755->0.780904436642657
18,1.1695336109403645,0.9841286270659373,1.3549385948147916,0.780904436642657->0.9738568737749386
