bin_size,diameter,ci_low,ci_high,bin_range
290,0.48092586210236093,0.4434619581861059,0.518389766018616,0.019000243855327868->0.2148375588857164
490,0.7489380077300529,0.7059044590370197,0.7919715564230861,0.2148375588857164->0.40970055891595375
288,0.9221332568357445,0.883649279981792,0.9606172336896971,0.40970055891595375->0.6045635589461911
112,1.099545954510874,1.0292233300453544,1.1698685789763934,0.6045635589461911->0.7994265589764284
15,1.0250230260764166,0.9088146672904033,1.14123138486243,0.7994265589764284->0.9942895590066658
