bin_size,diameter,ci_low,ci_high,bin_range
541,0.6754932372744967,0.5761605863016996,0.7748258882472938,-0.0009840822603444917->0.19681645206889836
395,0.9107167824137283,0.7181799869458028,1.103253577881654,0.19681645206889836->0.3936329041377967
190,1.1478436165923893,1.0302905745892312,1.2653966585955474,0.3936329041377967->0.590449356206695
73,1.2703353757556173,1.1698735459507899,1.3707972055604447,0.590449356206695->0.7872658082755934
14,1.2341636391766033,1.0927381423343367,1.37558913601887,0.7872658082755934->0.9840822603444918
